Class/Folder Name,[Dep_In, Dep_Out, NOC, NumAnc, NumAssEl_nsb, NumAssEl_ssc, NumDesc, abstractness, avrgFieldVisibility, avrgMethodVisibility, eC_Attr, eC_Par, getters, iC_Attr, iC_Par, iFImpl, nesting, numCls, numConstants, numFields, numInterf, numOps, numOpsCls, packagenesting, setters, staticness]
CH.ifa.draw.contrib.TriangleFigure,3,4,0,3,,,0,,0.5,2.866666667,0,1,2,2,2,0,0,,0,2,,15,,,0,0.066666667
CH.ifa.draw.contrib.TriangleRotationHandle,1,6,0,1,,,0,,0,2.625,0,0,1,1,5,0,0,,0,1,,8,,,0,0
CH.ifa.draw.contrib.TriangleRotationHandle$UndoActivity,1,2,0,1,,,0,,0,2.666666667,0,0,1,1,1,0,1,,0,1,,6,,,1,0
CH.ifa.draw.contrib.WindowMenu,13,5,0,1,,,0,,0,1.25,5,7,0,3,2,0,0,,0,3,,4,,,0,0.5
CH.ifa.draw.contrib.WindowMenu$1,1,3,0,1,,,0,,0,2.333333333,0,0,0,1,2,0,0,,0,1,,3,,,0,0
CH.ifa.draw.contrib.WindowMenu$2,1,3,0,1,,,0,,0,2.333333333,0,0,0,1,2,0,0,,0,1,,3,,,0,0
CH.ifa.draw.contrib.WindowMenu$3,1,2,0,0,,,0,,0,2.5,0,0,0,1,1,0,0,,0,1,,4,,,0,0
CH.ifa.draw.contrib.WindowMenu$4,1,2,0,0,,,0,,0,2,0,0,0,1,1,0,0,,0,1,,2,,,0,0
CH.ifa.draw.contrib.WindowMenu$ChildMenuItem,1,3,0,0,,,0,,0,3,0,0,1,2,1,0,1,,0,2,,2,,,0,0
CH.ifa.draw.figures,,,,,,,,0.069767442,,,,,,,,,,42,,,1,,377,3,,
CH.ifa.draw.figures.AbstractLineDecoration,0,5,1,0,,,1,,0.333333333,3,0,0,2,3,2,1,0,,1,3,,9,,,2,0
CH.ifa.draw.figures.ArrowTip,3,7,0,1,,,0,,0,2.076923077,0,0,3,5,2,0,0,,1,5,,13,,,3,0
CH.ifa.draw.figures.AttributeFigure,0,6,6,1,,,10,,0,2.214285714,0,0,4,4,2,0,0,,1,4,,14,,,1,0.214285714
CH.ifa.draw.figures.BorderDecorator,1,7,0,2,,,0,,0,2.888888889,0,0,1,5,2,0,0,,1,5,,9,,,1,0
CH.ifa.draw.figures.BorderTool,2,2,0,2,,,0,,,2.666666667,0,0,0,0,2,0,0,,0,0,,3,,,0,0
CH.ifa.draw.figures.BorderTool$UndoActivity,1,1,0,1,,,0,,,3,0,0,0,0,1,0,1,,0,0,,4,,,0,0
CH.ifa.draw.figures.ChopEllipseConnector,1,3,0,2,,,0,,0,2.666666667,0,0,0,1,2,0,0,,1,1,,3,,,0,0
CH.ifa.draw.figures.ConnectedTextTool,2,3,0,3,,,0,,0,2.75,0,0,0,1,2,0,0,,0,1,,4,,,0,0
CH.ifa.draw.figures.ConnectedTextTool$UndoActivity,1,3,0,2,,,0,,0,3,0,0,1,1,2,0,1,,0,1,,5,,,1,0
CH.ifa.draw.figures.ElbowConnection,4,3,0,3,,,0,,0,2.833333333,0,0,0,2,1,0,0,,1,2,,6,,,0,0
CH.ifa.draw.figures.ElbowHandle,1,6,0,1,,,0,,0,1.666666667,0,0,0,3,3,0,0,,0,3,,9,,,0,0
CH.ifa.draw.figures.ElbowTextLocator,1,1,0,1,,,0,,,2,0,0,0,0,1,0,0,,0,0,,2,,,0,0
CH.ifa.draw.figures.EllipseFigure,4,5,0,2,,,0,,0,2.916666667,0,0,0,3,2,0,0,,1,3,,12,,,0,0
CH.ifa.draw.figures.FigureAttributes,5,7,0,0,,,0,,0,3,2,0,1,3,4,0,0,,1,3,,9,,,1,0.222222222
CH.ifa.draw.figures.FontSizeHandle,1,6,0,2,,,0,,,2.833333333,0,0,0,0,6,0,0,,0,0,,6,,,0,0
CH.ifa.draw.figures.FontSizeHandle$UndoActivity,1,3,0,1,,,0,,0,2.333333333,0,0,2,2,1,0,1,,0,2,,9,,,2,0
CH.ifa.draw.figures.GroupCommand,2,1,0,1,,,0,,,2.75,0,0,0,0,1,0,0,,0,0,,4,,,0,0
CH.ifa.draw.figures.GroupCommand$UndoActivity,1,1,0,1,,,0,,,3,0,0,0,0,1,0,1,,0,0,,4,,,0,0
CH.ifa.draw.figures.GroupFigure,1,2,0,2,,,0,,0,3,0,0,0,2,0,0,0,,1,2,,7,,,1,0
CH.ifa.draw.figures.GroupHandle,1,2,0,3,,,0,,,3,0,0,0,0,2,0,0,,0,0,,2,,,0,0
CH.ifa.draw.figures.ImageFigure,2,7,0,2,,,0,,0,2.461538462,0,1,0,5,2,0,0,,1,5,,13,,,0,0
